"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"","7533","test","webkit","Mon Feb 17 14:34:56 EST 2025","passed","Mon Feb 17 14:35:03 EST 2025","","testdataTestCase.spec.js","",""
"","5782","test","chromium","Mon Feb 17 14:34:56 EST 2025","passed","Mon Feb 17 14:35:01 EST 2025","","testdataTestCase.spec.js","",""
"","3793","test","chromium","Sun Feb 16 16:57:34 EST 2025","passed","Sun Feb 16 16:57:37 EST 2025","","saceDemoAddToCart.spec.js","",""
"","2984","test case with data","chromium","Mon Feb 17 15:07:51 EST 2025","passed","Mon Feb 17 15:07:54 EST 2025","","testdataTestCase.spec.js","",""
"","6870","test","firefox","Mon Feb 17 14:34:56 EST 2025","passed","Mon Feb 17 14:35:02 EST 2025","","testSauceDemoE2E.spec.js","",""
"","6194","test","firefox","Mon Feb 17 14:34:56 EST 2025","passed","Mon Feb 17 14:35:02 EST 2025","","testdataTestCase.spec.js","",""
"","1890","test","chromium","Mon Feb 17 14:43:33 EST 2025","passed","Mon Feb 17 14:43:35 EST 2025","","testSauceDemoE2E.spec.js","",""
"","2411","New user end-to-end test journey","webkit","Sun Feb 16 16:19:16 EST 2025","passed","Sun Feb 16 16:19:19 EST 2025","","new-endtoend_test.spec.js","",""
"","3511","New user end-to-end test journey","firefox","Sun Feb 16 16:19:16 EST 2025","passed","Sun Feb 16 16:19:20 EST 2025","","new-endtoend_test.spec.js","",""
"","702","New user end-to-end test journey","chromium","Sun Feb 16 16:19:16 EST 2025","passed","Sun Feb 16 16:19:17 EST 2025","","new-endtoend_test.spec.js","",""
"","7675","test","webkit","Mon Feb 17 14:34:56 EST 2025","passed","Mon Feb 17 14:35:03 EST 2025","","testSauceDemoE2E.spec.js","",""
